PRODUCT_CD,LABEL_EN,FG_REVISION
01,Live animals,11111
0101,"Live horses, asses, mules and hinnies",11111
010110,Pure-bred breeding horses and asses,01100
010111,Pure-bred breeding horses,10000
010119,Live horses (excluding pure-bred for breeding),10000
010120,"Live asses, mules and hinnies",10000
010121,Pure-bred breeding horses,00011
010129,Live horses (excluding pure-bred for breeding),00011
010130,Live asses,00011
010190,Live mules and hinnies,01121
0102,Live bovine animals,11111
010210,Pure-bred breeding bovines,11100
010221,Pure-bred cattle for breeding,00011
010229,Live cattle (excluding pure-bred for breeding),00011
010231,Pure-bred buffalo for breeding,00011
010239,Live buffalo (excluding pure-bred for breeding),00011
010290,Live bovine animals (excluding cattle and buffalo),11121
0103,Live swine,11111
010310,Pure-bred breeding swine,11111
010391,"Live swine, weighing < 50 kg (excluding pure-bred for breeding)",11111
010392,"Live swine, weighing >= 50 kg (excluding pure-bred for breeding)",11111
0104,Live sheep and goats,11111
010410,Live sheep,11111
010420,Live goats,11111
0105,"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",11111
010511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excluding turkeys and guinea fowls)",11111
010512,"Live domestic turkeys, weighing <= 185 g",11111
010513,"Live domestic ducks, weighing <= 185 g",00011
010514,"Live domestic geese, weighing <= 185 g",00011
010515,"Live domestic guinea fowls, weighing <= 185 g",00011
010519,"Live domestic ducks, geese and guinea fowls, weighing <= 185 g",11100
010592,"Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg",11000
010593,"Live fowls of the species Gallus domesticus, weighing > 2 kg",11000
010594,"Live fowls of the species Gallus domesticus, weighing > 185",00111
010599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",11211
0106,"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",11111
010600,"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",10000
010611,Live primates,01111
010612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",01121
010613,Live camels and other camelids [Camelidae],00011
010614,Live rabbits and hares,00011
010619,"Live mammals (excluding primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",01121
010620,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",01111
010631,Live birds of prey,01111
010632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",01111
010633,"Live ostriches, and emus [Dromaius novaehollandiae]",00011
010639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",01111
010641,Live bees,00011
010649,Live insects (excluding bees),00011
010690,"Live animals (excluding mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",01121
02,Meat and edible meat offal,11111
0201,"Meat of bovine animals, fresh or chilled",11111
020110,"Carcases or half-carcases of bovine animals, fresh or chilled",11111
020120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",11111
020130,"Fresh or chilled bovine meat, boneless",11111
0202,"Meat of bovine animals, frozen",11111
020210,Frozen bovine carcases and half-carcases,11111
020220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",11111
020230,"Frozen, boneless meat of bovine animals",11111
0203,"Meat of swine, fresh, chilled or frozen",11111
020311,Fresh or chilled carcases and half-carcases of swine,11111
020312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",11111
