REPORTER_CD,year,class
004,2008,H2
004,2009,H2
004,2010,H2
004,2011,H2
004,2012,H2
004,2013,H2
004,2014,H2
004,2015,H2
004,2016,H2
008,2001,H1
008,2002,H1
008,2003,H2
008,2004,H2
008,2005,H2
008,2006,H2
008,2007,H2
008,2008,H2
008,2009,H3
008,2010,H3
008,2011,H3
008,2012,H4
008,2013,H4
008,2014,H4
008,2015,H4
008,2016,H4
008,2017,H5
012,2001,H1
012,2002,H2
012,2003,H2
012,2004,H2
012,2005,H2
012,2006,H2
012,2007,H3
012,2008,H3
012,2009,H3
012,2010,H3
012,2011,H3
012,2012,H4
012,2013,H4
012,2014,H4
012,2015,H4
012,2016,H4
012,2017,H5
020,2001,H1
020,2002,H2
020,2003,H2
020,2004,H2
020,2005,H2
020,2006,H2
020,2007,H3
020,2008,H3
020,2009,H3
020,2010,H3
020,2011,H3
020,2012,H4
020,2013,H4
020,2014,H4
024,2007,H2
024,2009,H3
024,2010,H3
024,2011,H3
024,2012,H3
024,2013,H3
024,2014,H4
024,2015,H4
028,2005,H1
028,2006,H1
028,2007,H1
028,2009,H1
028,2010,H1
028,2011,H1
028,2012,H1
028,2013,H3
028,2014,H3
028,2015,H3
028,2016,H3
028,2017,H3
031,2001,H1
031,2002,H1
031,2003,H1
031,2004,H2
031,2005,H2
031,2006,H2
031,2007,H3
031,2008,H3
031,2009,H3
031,2010,H3
031,2011,H3
031,2012,H4
031,2013,H4
031,2014,H4
031,2015,H4
031,2016,H4
031,2017,H4
032,2001,H1
032,2002,H2
032,2003,H2
032,2004,H2
032,2005,H2
032,2006,H2
032,2007,H3
032,2008,H3
032,2009,H3
032,2010,H3
032,2011,H3
032,2012,H4
032,2013,H4
032,2014,H4
032,2015,H4
032,2016,H4
032,2017,H4
036,2001,H1
036,2002,H2
036,2003,H2
036,2004,H2
036,2005,H2
036,2006,H2
036,2007,H3
036,2008,H3
036,2009,H3
036,2010,H3
036,2011,H3
036,2012,H4
036,2013,H4
036,2014,H4
036,2015,H4
036,2016,H4
036,2017,H5
040,2001,H1
040,2002,H2
040,2003,H2
040,2004,H2
040,2005,H2
040,2006,H2
040,2007,H3
040,2008,H3
040,2009,H3
040,2010,H3
040,2011,H3
040,2012,H4
040,2013,H4
040,2014,H4
040,2015,H4
040,2016,H4
044,2001,H1
044,2002,H1
044,2003,H2
044,2004,H2
044,2005,H2
044,2006,H2
044,2007,H2
044,2008,H2
044,2009,H3
044,2010,H3
044,2011,H3
044,2012,H3
044,2013,H4
044,2014,H4
044,2015,H4
048,2001,H0
048,2002,H2
048,2003,H2
048,2004,H2
048,2005,H2
048,2006,H2
048,2007,H2
048,2008,H2
048,2009,H3
048,2010,H3
048,2011,H3
048,2012,H3
048,2013,H4
048,2014,H4
048,2015,H4
048,2016,H4
050,2001,H0
050,2002,H2
050,2003,H2
050,2004,H2
050,2005,H2
050,2006,H2
050,2007,H2
050,2008,H3
050,2009,H3
050,2010,H3
050,2011,H3
050,2012,H4
050,2013,H4
050,2015,H4
051,2001,H1
051,2002,H1
051,2003,H2
051,2004,H2
051,2005,H2
051,2006,H2
051,2007,H3
051,2008,H3
051,2009,H3
051,2010,H3
051,2011,H3
051,2012,H3
051,2013,H4
051,2014,H4
051,2015,H4
051,2016,H4
051,2017,H5
052,2001,H1
052,2002,H1
052,2003,H1
052,2004,H1
052,2005,H2
052,2006,H2
052,2007,H2
052,2008,H2
052,2009,H2
052,2010,H2
052,2011,H2
052,2012,H2
052,2013,H2
052,2014,H2
052,2015,H2
052,2016,H2
