reporter;flow;month;ntlc;parttr;qty1;unit1;val
324;2;201501;39249010;Niger;21149;W00;200084368
324;2;201501;38112900;Sénégal;2700;W00;52177478
324;2;201501;3038900;Corée, République de;633600;W00;8400000000
324;2;201501;3025900;Corée, République de;24500;W00;300000000
324;2;201501;3034900;Corée, République de;42500;W00;37500000
324;2;201501;97030000;Etats-Unis;3000;W00;180000000
324;2;201501;8027000;Etats-Unis;56000;W00;800000000
324;2;201501;3034900;Corée, République de;48300;W00;75000000
324;2;201501;26060000;Ukraine;37884540;W00;4224317059
324;2;201501;39232900;Sierra Leone;44085;W00;365818562
324;2;201501;84713090;Guinée Equatoriale;250;W00;83321352
324;2;201501;73261900;Inde;58000;W00;200000000
324;2;201501;39241000;Niger;6266;W00;58045677
324;2;201501;3057900;Etats-Unis;1106;W00;20000094
324;2;201501;98010000;Maroc;4000;W00;466203550
324;2;201501;3034900;Corée, Rép. Populaire Démocratique;24000;W00;300000000
324;2;201501;73261900;Inde;75000;W00;40000000
324;2;201501;44130000;Allemagne;50000;W00;600000000
324;2;201501;3034900;Corée, République de;24250;W00;37500000
324;2;201501;84314900;Mali;500;W00;35162470
324;2;201501;90189000;France;4154;W00;1195085481
324;2;201501;90189000;France;3186;W00;1454274888
324;2;201501;98010000;Royaume-Uni;619;W00;7499982
324;2;201501;39249010;Mali;18832;W00;169898141
324;2;201501;92060000;Etats-Unis;1000;W00;100000000
324;2;201501;84812000;Ghana;131;W00;45113585
324;2;201501;72044900;Emirats Arabes Unis;25000;W00;16791533
324;2;201501;72043000;Inde;180000;W00;76357285
324;2;201501;3021900;Corée, République de;1740000;W00;6000000000
324;2;201501;32151900;Guinée Equatoriale;4;W00;282805
324;2;201501;3036900;Chine;50000;W00;75000000
324;2;201501;44092900;Chine;142530;W00;1600000000
324;2;201501;3021900;Corée, République de;24500;W00;300000000
324;2;201501;72042100;Inde;250000;W00;200000000
324;2;201501;40012900;Espagne;136260;W00;1721135860
324;2;201501;72042100;Inde;40000;W00;180000000
324;2;201501;84433190;Guinée Equatoriale;7;W00;3252255
324;2;201501;22029090;Royaume-Uni;1;W00;7954
324;2;201501;98010000;Etats-Unis;856;W00;35350595
324;2;201501;22011010;Afrique du Sud;20;W00;7070
324;2;201501;44092900;Mauritanie;56000;W00;600000000
324;2;201501;84314900;Finlande;15;W00;2545243
324;2;201501;84713090;Ghana;3;W00;3535060
324;2;201501;84713090;Sénégal;6;W00;3535060
324;2;201501;84314900;Guinée Equatoriale;34;W00;83917
324;2;201501;39269099;Taïwan, Province de Chine;11;W00;212104
324;2;201501;87033220;Côte d'Ivoire;2233;W00;194430138
324;2;201501;84139190;Emirats Arabes Unis;43;W00;5479342
324;2;201501;26139000;Irlande;62;W00;212104
324;2;201501;84314900;Allemagne;2;W00;17068845
324;2;201501;84733000;Royaume-Uni;5;W00;815856
324;2;201501;39232900;Mali;73867;W00;621798230
324;2;201501;84713090;Ghana;3;W00;3535060
324;2;201501;71081310;Inde;362;W00;90029257900
324;2;201501;87032120;Mali;1980;W00;273832991
324;2;201501;71023100;Belgique;3810;W00;3707807606
324;2;201501;71023100;Israèl;172;W00;6064607312
324;2;201501;26060000;Ukraine;28960000;W00;3013726176
324;2;201501;84314900;Madagascar;68;W00;12913007
